"Name","PathName","ProcessID"
"TokenBroker","C:\Windows\system32\svchost.exe -k netsvcs -p","4984"
"TrkWks","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"TrustedInstaller","C:\Windows\servicing\TrustedInstaller.exe","0"
"tzautoupdate","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"UevAgentService","C:\Windows\system32\AgentService.exe","0"
"UmRdpService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"upnphost","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"UserManager","C:\Windows\system32\svchost.exe -k netsvcs -p","2172"
"UsoSvc","C:\Windows\system32\svchost.exe -k netsvcs -p","4000"
"VacSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"VaultSvc","C:\Windows\system32\lsass.exe","656"
"vds","C:\Windows\System32\vds.exe","0"
"VGAuthService","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""","2580"
"VM3DService","C:\Windows\system32\vm3dservice.exe","2560"
"vmicguestinterface","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"vmicheartbeat","C:\Windows\system32\svchost.exe -k ICService -p","0"
"vmickvpexchange","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"vmicrdv","C:\Windows\system32\svchost.exe -k ICService -p","0"
"vmicshutdown","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"vmictimesync","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"vmicvmsession","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"vmicvss","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"VMTools","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""","2536"
"vmvss","C:\Windows\system32\dllhost.exe /Processid:{B38A5DCB-4023-4056-BFDE-B5EF0234EF7A}","0"
"VSS","C:\Windows\system32\vssvc.exe","0"
"W32Time","C:\Windows\system32\svchost.exe -k LocalService","0"
"WaaSMedicSvc","C:\Windows\system32\svchost.exe -k wusvcs -p","0"
"WalletService","C:\Windows\System32\svchost.exe -k appmodel -p","0"
"WarpJITSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","0"
"wbengine","""C:\Windows\system32\wbengine.exe""","0"
"WbioSrvc","C:\Windows\system32\svchost.exe -k WbioSvcGroup","0"
"Wcmsvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","1800"
"wcncsvc","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"WdiServiceHost","C:\Windows\System32\svchost.exe -k LocalService -p","0"
"WdiSystemHost","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"WdNisSvc","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2301.6-0\NisSrv.exe""","3628"
"WebClient","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"Wecsvc","C:\Windows\system32\svchost.exe -k NetworkService -p","0"
"WEPHOSTSVC","C:\Windows\system32\svchost.exe -k WepHostSvcGroup","0"
"wercplsupport","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"WerSvc","C:\Windows\System32\svchost.exe -k WerSvcGroup","0"
"WFDSConMgrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"WiaRpc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"WinDefend","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2301.6-0\MsMpEng.exe""","2628"
"WinHttpAutoProxySvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","2140"
"Winmgmt","C:\Windows\system32\svchost.exe -k netsvcs -p","2424"
"WinRM","C:\Windows\System32\svchost.exe -k NetworkService -p","0"
"WireGuardManager","""C:\Program Files\WireGuard\wireguard.exe"" /managerservice","2596"
